20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
20,23,23,23,23,23,23,23,23,23,20,23,23,23,23,20,23,23,23,23,23,23,23,23,23,23,20,23,23,23,23,23,20
20,23,0,0,0,0,0,0,0,23,20,23,0,0,23,20,23,0,0,0,0,0,0,0,0,23,20,23,0,0,0,23,20
20,23,0,22,1,1,1,1,1,23,20,23,0,0,23,20,23,0,0,0,0,0,0,0,31,23,20,23,0,0,0,23,20
20,23,0,0,1,1,1,1,1,-1,0,-1,0,0,23,20,23,1,1,1,1,1,1,1,1,23,20,23,0,0,0,23,20
20,23,0,0,1,1,1,1,1,23,0,23,23,23,23,20,23,23,23,23,-1,23,23,23,23,23,20,23,-1,23,23,23,20
20,23,23,23,23,23,23,0,0,23,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,19,20
20,19,19,19,19,19,23,0,0,23,0,0,0,0,23,23,-1,23,23,23,-1,23,23,23,-1,23,23,23,-1,23,23,23,23
23,23,23,23,23,20,23,0,0,23,23,23,23,23,23,0,0,0,23,2,1,1,23,2,2,2,1,23,0,7,1,1,23
23,0,0,0,23,20,23,0,0,32,0,0,0,0,0,0,0,0,23,2,1,1,23,2,1,2,1,23,0,8,1,1,23
23,0,21,0,23,20,23,0,0,0,23,23,23,23,23,0,0,0,23,2,2,2,23,1,1,1,1,23,0,8,1,1,23
23,0,0,0,23,20,23,0,0,0,23,19,19,19,23,0,0,0,23,2,2,2,23,1,1,1,1,23,0,8,1,1,23
23,23,25,23,23,20,23,23,23,23,23,20,20,20,23,23,23,23,23,23,23,23,23,23,23,23,23,23,0,8,1,1,23
20,23,0,23,20,20,19,19,19,19,19,20,20,20,23,19,19,19,19,19,19,19,19,19,19,19,19,23,0,8,1,1,23
20,23,0,23,20,20,20,20,20,20,20,20,20,20,23,20,20,23,23,23,23,23,23,23,23,23,20,23,0,8,1,1,23
20,23,0,23,23,23,23,23,23,23,23,23,23,23,23,20,20,23,0,0,2,1,10,16,0,23,20,23,2,8,30,0,23
20,23,31,0,0,6,18,18,18,18,18,18,12,23,23,20,20,23,0,0,2,1,10,18,17,23,20,23,2,8,0,30,23
20,23,23,23,23,23,23,23,23,23,23,23,0,23,23,20,20,23,0,2,2,1,6,14,18,23,20,23,2,8,0,0,23
20,19,19,19,19,19,19,19,19,19,19,23,0,0,0,10,16,-1,34,2,1,1,0,0,4,23,23,23,2,8,0,0,23
20,23,23,23,23,23,23,23,23,23,23,23,23,23,23,18,18,23,0,2,1,0,0,0,33,-1,0,-1,13,12,2,2,23
20,23,35,0,35,0,35,0,0,35,23,0,0,0,23,18,18,23,0,30,1,0,0,0,0,23,23,23,0,0,2,2,23
20,23,35,0,31,31,35,31,35,31,-1,0,0,0,-1,10,18,23,0,31,1,0,0,0,0,23,19,23,23,23,23,23,23
20,23,35,31,0,31,35,35,35,31,23,0,0,0,23,23,23,23,0,0,0,0,0,0,0,23,20,19,19,19,19,19,19
20,23,0,31,35,31,0,31,35,0,23,17,17,17,23,19,19,23,0,0,0,0,0,0,33,23,23,23,23,23,20,20,20
20,23,23,23,23,23,23,23,23,23,23,14,14,14,23,20,20,23,0,0,0,0,0,0,32,-1,0,30,0,23,20,20,20
20,19,19,19,19,19,19,19,19,19,23,0,0,0,23,20,20,23,0,0,0,0,0,0,0,23,30,0,0,23,20,20,20
20,20,20,20,20,20,20,20,20,20,23,0,0,0,23,20,20,23,23,23,23,23,-1,23,23,23,0,0,0,23,20,20,20
20,20,20,20,20,20,20,20,20,20,23,23,23,23,23,20,20,19,19,19,19,19,0,19,19,23,0,0,0,23,20,20,20
20,20,20,20,20,20,20,20,20,20,19,19,19,19,19,20,20,23,23,23,23,23,-1,23,20,23,23,23,23,23,20,20,20
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,23,0,0,0,0,34,23,20,19,19,19,19,19,20,20,20
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,23,0,0,0,0,0,23,20,20,20,20,20,20,20,20,20
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,23,0,0,0,0,0,23,20,20,20,20,20,20,20,20,20
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,23,23,23,23,23,23,23,20,20,20,20,20,20,20,20,20
